pair_id,category,strategy
004d0365696e6a0f7fe6606d,violence,ScenarioNesting
0579f42246db6c369a39f1ef,violence,SymbolicMasking
0a20a541cac556192d2afef6,violence,ScenarioNesting
0fc520fa31404f8040cb8ec9,intoxication,SymbolicMasking
16bc2dc05679b56b9fdadb42,violence,ScenarioNesting
18ac232110c96f85eda3be84,violence,RolePrompting
1c1c7e5b76456da589821806,sexual_violence,RolePrompting
1d9a538889900c0d198af5fb,violence,SymbolicMasking
229175042a2d1132c6944a8b,sexual_violence,SymbolicMasking
23d171935582d607863f44c1,intoxication,RolePrompting
26f6a578d8097de6b3f5f851,sexual_violence,ScenarioNesting
27d74d4afe322642a6489b34,gambling,SymbolicMasking
28b5b662d5467f27c36a297a,intoxication,SymbolicMasking
28c240a549350d1505f9f301,intoxication,SymbolicMasking
305e4f4360a5547f0edfaf3e,gambling,ScenarioNesting
319e473a9469dcd5c207a30e,gambling,SymbolicMasking
35636401ad9d0b4df4093a63,violence,ScenarioNesting
39a226aed6dbe47dddf79edd,intoxication,ScenarioNesting
3a2808f8fdb6f3360e33bb91,gambling,RolePrompting
3b086082e0e3eef1e395fd6f,sexual_violence,ScenarioNesting
40c98bfdd812588542f99e25,gambling,RolePrompting
43ce77dde7f3f8041da30b7b,gambling,ScenarioNesting
43d401b5fb5fa3f0876b2a45,violence,RolePrompting
4adc9b89ad96a6c3991912df,sexual_violence,RolePrompting
4bdaf74de83bd50f6da254d3,intoxication,ScenarioNesting
4f081e59e9bc00c55dbebef8,intoxication,ScenarioNesting
50cf1034828e64d591aad222,intoxication,SymbolicMasking
5109a90cacf70ae716c20134,sexual_violence,RolePrompting
55f16ef861bcaa7b865229b8,intoxication,ScenarioNesting
5680e5ba448f9ebc2e6e0c76,sexual_violence,ScenarioNesting
595d4d0a6e6d1908a144e267,intoxication,ScenarioNesting
5ae63a49ca78e13150bdc968,violence,SymbolicMasking
5ba8ab55d75d032705e62080,sexual_violence,ScenarioNesting
6124ea36fe9a9c1f73bd94a5,intoxication,RolePrompting
62a7db9747fe067a70e19722,violence,RolePrompting
6c34b6f96c6de2775370eee9,sexual_violence,SymbolicMasking
6e5023585986981e0caefdb6,sexual_violence,RolePrompting
70d852e1ec3c80cea9bb650d,sexual_violence,ScenarioNesting
7ab8c73366e22093ac7d146d,sexual_violence,SymbolicMasking
7ef886a809f7c2977b31a230,gambling,ScenarioNesting
857905f4786f955ec47ef703,gambling,SymbolicMasking
8d0134b87de28be8fadcd58b,violence,ScenarioNesting
9075c59088121f48e5a37b04,violence,RolePrompting
92ea72716a58afaf72ee3382,gambling,RolePrompting
9568f801c83cd56350018b79,gambling,SymbolicMasking
97d8f7142a151401d2be52e9,sexual_violence,RolePrompting
9b2924f50e54f631fe4b3e50,gambling,RolePrompting
9f3b6f110f2e71e8be64e87a,gambling,ScenarioNesting
9f8c578a42b5be599283ad60,intoxication,ScenarioNesting
a170b40eb212953e609cd21a,sexual_violence,ScenarioNesting
a45c6602dd53371523ed1f92,sexual_violence,SymbolicMasking
a99ef591a6f6cdb054edcf6a,violence,SymbolicMasking
ac62f7e92433a178e6e7d96b,sexual_violence,SymbolicMasking
ae56e2682665f509532e7572,intoxication,RolePrompting
b53268b59fdacbf0a7509ab4,intoxication,SymbolicMasking
b53fe277b182cf4266e897c4,intoxication,SymbolicMasking
b66608312f7903a7e359c412,gambling,SymbolicMasking
bec8a2a188b544372b13bcde,violence,SymbolicMasking
c12dafb238de084e26ac906e,violence,ScenarioNesting
cb390a5fce382e1651d8d9af,violence,RolePrompting
cbdc7273b8e2f46ecdcec018,violence,SymbolicMasking
cdf0e6edca6f2fe80a78c9bf,gambling,RolePrompting
d128e89743d88203b42551f3,intoxication,RolePrompting
d415fa5c7ac057eb41fc6808,gambling,ScenarioNesting
d69dab38e1d2054621891776,sexual_violence,SymbolicMasking
d9f37eb64f0848657254a269,gambling,SymbolicMasking
f1ebe8aea2ee0d3ee9e357c5,gambling,RolePrompting
f43c2d6e29453cc661c5a2b7,violence,RolePrompting
f6b0718324f4f6707d2da462,intoxication,RolePrompting
f6c0d908d243b615d8f700ef,gambling,ScenarioNesting
fb64d000d2201dce2a667b83,intoxication,RolePrompting
fbe5ef7c052343f5d34fee37,sexual_violence,RolePrompting
